LetterCount,Pattern,TrueLength,DisplayWord,ProcessedWord
4 Letters,"1,3",4,J Hus,JHUS
4 Letters,"1,3",4,J peg,JPEG
4 Letters,"1,3",4,J pen,JPEN
4 Letters,"1,3",4,M Ali,MALI
4 Letters,"1,3",4,M Mus,MMUS
4 Letters,"1,3",4,O RLY,ORLY
4 Letters,"1,3",4,Q Tip,QTIP
4 Letters,"1,3",4,T Bar,TBAR
4 Letters,"1,3",4,T ray,TRAY
4 Letters,"1,3",4,T Rex,TREX
4 Letters,"1,3",4,V Day,VDAY
4 Letters,"1,3",4,X Box,XBOX
4 Letters,"1,3",4,X Men,XMEN
4 Letters,"1,3",4,X ray,XRAY
4 Letters,"1,3",4,Z bed,ZBED
4 Letters,"2,1,1",4,to a T,TOAT
4 Letters,"2,1,1",4,un p c,UNPC
4 Letters,"2,2",4,ah ha,AHHA
4 Letters,"2,2",4,ah me,AHME
4 Letters,"2,2",4,an mo,ANMO
4 Letters,"2,2",4,as if,ASIF
4 Letters,"2,2",4,as in,ASIN
4 Letters,"2,2",4,as is,ASIS
4 Letters,"2,2",4,as of,ASOF
4 Letters,"2,2",4,as to,ASTO
4 Letters,"2,2",4,at it,ATIT
4 Letters,"2,2",4,co ax,COAX
4 Letters,"2,2",4,co ed,COED
4 Letters,"2,2",4,co op,COOP
4 Letters,"2,2",4,do in,DOIN
4 Letters,"2,2",4,do it,DOIT
4 Letters,"2,2",4,do up,DOUP
4 Letters,"2,2",4,Dr No,DRNO
4 Letters,"2,2",4,El Al,ELAL
4 Letters,"2,2",4,et al,ETAL
4 Letters,"2,2",4,et tu,ETTU
4 Letters,"2,2",4,go by,GOBY
4 Letters,"2,2",4,go go,GOGO
4 Letters,"2,2",4,go in,GOIN
4 Letters,"2,2",4,go on,GOON
4 Letters,"2,2",4,go to,GOTO
4 Letters,"2,2",4,go up,GOUP
4 Letters,"2,2",4,ha ha,HAHA
4 Letters,"2,2",4,he he,HEHE
4 Letters,"2,2",4,hi fi,HIFI
4 Letters,"2,2",4,ho ho,HOHO
4 Letters,"2,2",4,if so,IFSO
4 Letters,"2,2",4,I'm in,I'MIN
4 Letters,"2,2",4,in it,INIT
4 Letters,"2,2",4,in on,INON
4 Letters,"2,2",4,in re,INRE
4 Letters,"2,2",4,in se,INSE
4 Letters,"2,2",4,in to,INTO
4 Letters,"2,2",4,it is,ITIS
4 Letters,"2,2",4,ju ju,JUJU
4 Letters,"2,2",4,Ko Ko,KOKO
4 Letters,"2,2",4,la la,LALA
4 Letters,"2,2",4,Li Bo,LIBO
4 Letters,"2,2",4,Li Po,LIPO
4 Letters,"2,2",4,lo fi,LOFI
4 Letters,"2,2",4,no go,NOGO
4 Letters,"2,2",4,no no,NONO
4 Letters,"2,2",4,oh my,OHMY
4 Letters,"2,2",4,oh no,OHNO
4 Letters,"2,2",4,oh oh,OHOH
4 Letters,"2,2",4,oh so,OHSO
4 Letters,"2,2",4,on it,ONIT
4 Letters,"2,2",4,op ed,OPED
4 Letters,"2,2",4,or so,ORSO
4 Letters,"2,2",4,Po Mo,POMO
4 Letters,"2,2",4,QE II,QEII
4 Letters,"2,2",4,Ro Ro,RORO
4 Letters,"2,2",4,sa sa,SASA
4 Letters,"2,2",4,so on,SOON
4 Letters,"2,2",4,so so,SOSO
4 Letters,"2,2",4,SS GB,SSGB
4 Letters,"2,2",4,St Lo,STLO
4 Letters,"2,2",4,ta ta,TATA
4 Letters,"2,2",4,to be,TOBE
4 Letters,"2,2",4,to do,TODO
4 Letters,"2,2",4,to go,TOGO
4 Letters,"2,2",4,Tu Fu,TUFU
4 Letters,"2,2",4,TV ad,TVAD
4 Letters,"2,2",4,uh oh,UHOH
4 Letters,"2,2",4,uh uh,UHUH
4 Letters,"2,2",4,un PC,UNPC
4 Letters,"2,2",4,up in,UPIN
4 Letters,"2,2",4,up on,UPON
4 Letters,"2,2",4,up to,UPTO
4 Letters,"2,2",4,wi fi,WIFI
4 Letters,"2,2",4,yo ho,YOHO
4 Letters,"2,2",4,yo yo,YOYO
4 Letters,"3,1",4,Ali G,ALIG
4 Letters,"3,1",4,Alt J,ALTJ
4 Letters,"3,1",4,Big O,BIGO
4 Letters,"3,1",4,Gen X,GENX
4 Letters,"3,1",4,Gen Y,GENY
4 Letters,"3,1",4,Gen Z,GENZ
4 Letters,"3,1",4,Jay Z,JAYZ
4 Letters,"3,1",4,Leo X,LEOX
4 Letters,"3,1",4,Man U,MANU
4 Letters,"3,1",4,Mel C,MELC
4 Letters,"3,1",4,Mrs T,MRST
4 Letters,"3,1",4,Non U,NONU
4 Letters,"3,1",4,Not I,NOTI
4 Letters,"3,1",4,The I,THEI
4 Letters,"3,1",4,Toc H,TOCH
5 Letters,"1,1,1,1,1",5,A A M O F,AAMOF
5 Letters,"1,1,1,1,1",5,A A Q M G,AAQMG
5 Letters,"1,1,1,1,1",5,A B R S M,ABRSM
5 Letters,"1,1,1,1,1",5,A F A I K,AFAIK
5 Letters,"1,1,1,1,1",5,A N Z A C,ANZAC
5 Letters,"1,1,1,1,1",5,A S L E F,ASLEF
5 Letters,"1,1,1,1,1",5,C O C O M,COCOM
5 Letters,"1,1,1,1,1",5,D E F R A,DEFRA
5 Letters,"1,1,1,1,1",5,E P R O M,EPROM
5 Letters,"1,1,1,1,1",5,I D G A F,IDGAF
5 Letters,"1,1,1,1,1",5,I S T A R,ISTAR
5 Letters,"1,1,1,1,1",5,N S A I D,NSAID
5 Letters,"1,1,1,1,1",5,N S P C C,NSPCC
5 Letters,"1,1,1,1,1",5,O F T E L,OFTEL
5 Letters,"1,1,1,1,1",5,R S P C A,RSPCA
5 Letters,"1,1,1,1,1",5,S W A L K,SWALK
5 Letters,"1,1,1,1,1",5,T A S E R,TASER
5 Letters,"1,1,1,1,1",5,T O W I E,TOWIE
5 Letters,"1,1,3",5,G I Joe,GIJOE
5 Letters,"1,1,3",5,P O Box,POBOX
5 Letters,"1,1,3",5,T V set,TVSET
5 Letters,"1,1,3",5,V E Day,VEDAY
5 Letters,"1,1,3",5,V J Day,VJDAY
5 Letters,"1,2,2",5,a go go,AGOGO
5 Letters,"1,2,2",5,e la mi,ELAMI
5 Letters,"1,3,1",5,A and E,AANDE
5 Letters,"1,3,1",5,B and B,BANDB
5 Letters,"1,3,1",5,B Sky B,BSKYB
5 Letters,"1,3,1",5,C and W,CANDW
5 Letters,"1,3,1",5,D and D,DANDD
5 Letters,"1,3,1",5,G and T,GANDT
5 Letters,"1,3,1",5,H two O,HTWOO
5 Letters,"1,3,1",5,I and I,IANDI
5 Letters,"1,3,1",5,M and M,MANDM
5 Letters,"1,3,1",5,N and Q,NANDQ
5 Letters,"1,3,1",5,Q and A,QANDA
5 Letters,"1,3,1",5,R and B,RANDB
5 Letters,"1,3,1",5,R and D,RANDD
5 Letters,"1,3,1",5,R and R,RANDR
5 Letters,"1,3,1",5,V and A,VANDA
5 Letters,"1,4",5,A bomb,ABOMB
5 Letters,"1,4",5,a demi,ADEMI
5 Letters,"1,4",5,a deux,ADEUX
5 Letters,"1,4",5,a fond,AFOND
5 Letters,"1,4",5,a gogo,AGOGO
5 Letters,"1,4",5,A line,ALINE
5 Letters,"1,4",5,A list,ALIST
5 Letters,"1,4",5,a pied,APIED
5 Letters,"1,4",5,A plus,APLUS
5 Letters,"1,4",5,A road,AROAD
5 Letters,"1,4",5,a show,ASHOW
5 Letters,"1,4",5,A side,ASIDE
5 Letters,"1,4",5,A team,ATEAM
5 Letters,"1,4",5,A Wing,AWING
5 Letters,"1,4",5,B cell,BCELL
5 Letters,"1,4",5,B flat,BFLAT
5 Letters,"1,4",5,B list,BLIST
5 Letters,"1,4",5,B plus,BPLUS
5 Letters,"1,4",5,B road,BROAD
5 Letters,"1,4",5,B side,BSIDE
5 Letters,"1,4",5,B team,BTEAM
5 Letters,"1,4",5,C Clef,CCLEF
5 Letters,"1,4",5,C list,CLIST
5 Letters,"1,4",5,C word,CWORD
5 Letters,"1,4",5,D lock,DLOCK
5 Letters,"1,4",5,D Phil,DPHIL
5 Letters,"1,4",5,D ring,DRING
5 Letters,"1,4",5,E boat,EBOAT
5 Letters,"1,4",5,e book,EBOOK
5 Letters,"1,4",5,e card,ECARD
5 Letters,"1,4",5,e bank,EBANK
5 Letters,"1,4",5,e copy,ECOPY
5 Letters,"1,4",5,e gift,EGIFT
5 Letters,"1,4",5,e news,ENEWS
5 Letters,"1,4",5,e shop,ESHOP
5 Letters,"1,4",5,e toll,ETOLL
5 Letters,"1,4",5,I wish,IWISH
5 Letters,"1,4",5,I won't,IWON'T
5 Letters,"1,4",5,J Cole,JCOLE
5 Letters,"1,4",5,e card,ECARD
5 Letters,"1,4",5,e cash,ECASH
5 Letters,"1,4",5,E coli,ECOLI
5 Letters,"1,4",5,e data,EDATA
5 Letters,"1,4",5,e fits,EFITS
5 Letters,"1,4",5,E flat,EFLAT
5 Letters,"1,4",5,e mail,EMAIL
5 Letters,"1,4",5,e nose,ENOSE
5 Letters,"1,4",5,E rays,ERAYS
5 Letters,"1,4",5,e tail,ETAIL
5 Letters,"1,4",5,E tool,ETOOL
5 Letters,"1,4",5,E type,ETYPE
5 Letters,"1,4",5,e zine,EZINE
5 Letters,"1,4",5,F clef,FCLEF
5 Letters,"1,4",5,F flat,FFLAT
5 Letters,"1,4",5,f hole,FHOLE
5 Letters,"1,4",5,F stop,FSTOP
5 Letters,"1,4",5,F word,FWORD
5 Letters,"1,4",5,G clef,GCLEF
5 Letters,"1,4",5,G flat,GFLAT
5 Letters,"1,4",5,G Plan,GPLAN
5 Letters,"1,4",5,G spot,GSPOT
5 Letters,"1,4",5,G suit,GSUIT
5 Letters,"1,4",5,H bomb,HBOMB
5 Letters,"1,4",5,H hour,HHOUR
5 Letters,"1,4",5,I Beam,IBEAM
5 Letters,"1,4",5,I hope,IHOPE
5 Letters,"1,4",5,I know,IKNOW
5 Letters,"1,4",5,I quit,IQUIT
5 Letters,"1,4",5,I Thou,ITHOU
5 Letters,"1,4",5,I will,IWILL
5 Letters,"1,4",5,k hole,KHOLE
5 Letters,"1,4",5,L dopa,LDOPA
5 Letters,"1,4",5,n type,NTYPE
5 Letters,"1,4",5,O Hour,OHOUR
5 Letters,"1,4",5,O ring,ORING
5 Letters,"1,4",5,P Celt,PCELT
5 Letters,"1,4",5,P Kelt,PKELT
5 Letters,"1,4",5,p type,PTYPE
5 Letters,"1,4",5,Q boat,QBOAT
5 Letters,"1,4",5,Q Celt,QCELT
5 Letters,"1,4",5,Q Kelt,QKELT
5 Letters,"1,4",5,Q ship,QSHIP
5 Letters,"1,4",5,Q sort,QSORT
5 Letters,"1,4",5,S bend,SBEND
5 Letters,"1,4",5,T bone,TBONE
5 Letters,"1,4",5,T cart,TCART
5 Letters,"1,4",5,T cell,TCELL
5 Letters,"1,4",5,T Pain,TPAIN
5 Letters,"1,4",5,T rays,TRAYS
5 Letters,"1,4",5,t test,TTEST
5 Letters,"1,4",5,U bend,UBEND
5 Letters,"1,4",5,U boat,UBOAT
5 Letters,"1,4",5,U Bolt,UBOLT
5 Letters,"1,4",5,U trap,UTRAP
5 Letters,"1,4",5,U tube,UTUBE
5 Letters,"1,4",5,U turn,UTURN
5 Letters,"1,4",5,V chip,VCHIP
5 Letters,"1,4",5,V neck,VNECK
5 Letters,"1,4",5,V sign,VSIGN
5 Letters,"1,4",5,X axes,XAXES
5 Letters,"1,4",5,X axis,XAXIS
5 Letters,"1,4",5,X body,XBODY
5 Letters,"1,4",5,X rays,XRAYS
5 Letters,"1,4",5,Y axes,YAXES
5 Letters,"1,4",5,Y axis,YAXIS
5 Letters,"1,4",5,Y moth,YMOTH
5 Letters,"1,4",5,Z axes,ZAXES
5 Letters,"1,4",5,Z axis,ZAXIS
5 Letters,"1,4",5,Z beds,ZBEDS
5 Letters,"1,4",5,Z bend,ZBEND
5 Letters,"1,4",5,Z Cars,ZCARS
5 Letters,"1,4",5,Z list,ZLIST
5 Letters,"2,1,2",5,do a PB,DOAPB
5 Letters,"2,1,2",5,in a mo,INAMO
5 Letters,"2,1,2",5,up I go,UPIGO
