LetterCount, Pattern, Word1, Word2, Word3, Word4, Word5, Word6, Word7, Word8, Word9
15 Letters,"1,8,2,4",A Farewell to Arms,a mountain of debt,a nuisance of cats,a pantheon of gods,a question of fact,a question of time,,,
15 Letters,"1,8,3,3",a thousand and one,,,,,,,,
15 Letters,"1,8,6",a ballpark figure,a biblical famine,a crushing defeat,a defining moment,a definite chance,a delicate matter,a fighting chance,a fleeting glance,a fleeting moment
15 Letters,"1,8,6",a handsome couple,a pathetic excuse,a personal remark,a pressing matter,a ruthless streak,a salutary lesson,a sporting chance,a straight answer,a stubborn streak
15 Letters,"1,8,6",a tempting target,a trifling amount,a trifling matter,I shouldn't wonder,,,,,
15 Letters,"1,9,5",a candlelit vigil,A Christmas Carol,a deserving cause,a gibbering wreck,a lingering death,a lingering doubt,a momentary lapse,a quivering wreck,a sleepless night
15 Letters,"1,9,5",a temporary truce,,,,,,,,
15 Letters,"1,10,4",a bargaining tool,a blistering pace,a borderline case,a calculated risk,a cautionary tale,a commanding view,a gargantuan task,a retrograde step,a scientific fact
15 Letters,"1,10,4",a shattering blow,a suspicious mind,a watertight case,I appreciate that,,,,,
15 Letters,"1,11,3",a thoughtless act,,,,,,,,
15 Letters,"2,1,3,2,1,6",on a bit of a downer,,,,,,,,
15 Letters,"2,1,3,2,7",be a law to oneself,in a fit of passion,,,,,,,
15 Letters,"2,1,3,9",be a bad influence,,,,,,,,
15 Letters,"2,1,4,2,6",in a spot of bother,,,,,,,,
15 Letters,"2,1,4,3,5",at a loss for words,,,,,,,,
15 Letters,"2,1,4,4,4",do a full day's work,,,,,,,,
15 Letters,"2,1,4,6,2",be a past master at,,,,,,,,
15 Letters,"2,1,4,8",at a safe distance,be a good listener,,,,,,,
15 Letters,"2,1,5,2,2,3",in a blink of an eye,,,,,,,,
15 Letters,"2,1,5,2,5",in a blaze of glory,in a state of chaos,in a state of grace,in a state of limbo,in a state of panic,in a state of shock,in a state of siege,,
15 Letters,"2,1,5,4,3",If I Could Tell You,,,,,,,,
15 Letters,"2,1,5,7",by a hair's breadth,on a solid footing,on a sound footing,,,,,,
15 Letters,"2,1,6,2,4",as a matter of fact,as a matter of form,,,,,,,
15 Letters,"2,1,6,6",by a marrow margin,do a Reggie Perrin,I'm a Little Teapot,in a pretty pickle,In a Summer Garden,on a losing streak,on a losing wicket,on a sticky wicket,to a lesser degree
15 Letters,"2,1,6,6",to a lesser extent,,,,,,,,
15 Letters,"2,1,7,5",as a special treat,at a bargain price,do a roaring trade,I'm a monkey's uncle,in a parlous state,in a perfect world,in a tearing hurry,on a monthly basis,on a regular basis
15 Letters,"2,1,7,5",on a sliding scale,on a smaller scale,,,,,,,
15 Letters,"2,1,8,4",in a straight line,on a brighter note,on a separate note,,,,,,
15 Letters,"2,1,9,3",do a vanishing act,,,,,,,,
15 Letters,"2,1,10,2",as I understand it,,,,,,,,
15 Letters,"2,1,12",at a disadvantage,in a relationship,,,,,,,
15 Letters,"2,2,1,10",be at a crossroads,be at a standstill,go on a pilgrimage,,,,,,
15 Letters,"2,2,2,2,7",Oh to be in England,,,,,,,,
15 Letters,"2,2,2,5,4",or so it would seem,,,,,,,,
15 Letters,"2,2,2,9",be of no relevance,be on to something,be up to something,,,,,,
15 Letters,"2,2,3,2,2,4",OK as far as it goes,,,,,,,,
15 Letters,"2,2,3,2,3,3",go as far as one can,,,,,,,,
15 Letters,"2,2,3,3,5",in it for the kicks,,,,,,,,
15 Letters,"2,2,3,4,4",at an all time high,be in the same boat,be of the same mind,be on the safe side,be on the same page,on an all time high,,,
15 Letters,"2,2,3,6,2",be at the bottom of,do as the Romans do,,,,,,,
15 Letters,"2,2,3,8",be as one expected,be at the controls,be in the doldrums,be in the pipeline,be in the vanguard,be in the vicinity,go to the bathroom,go to the butchers,go to the lavatory
15 Letters,"2,2,3,8",go to the pictures,if at all possible,if I'm not mistaken,up to the eyebrows,,,,,
15 Letters,"2,2,4,1,6",be in with a chance,,,,,,,,
15 Letters,"2,2,4,2,1,4",be as high as a kite,,,,,,,,
15 Letters,"2,2,4,3,4",go to hell and back,go to rack and ruin,,,,,,,
15 Letters,"2,2,4,4,3",be at one's wits end,be at your wits end,,,,,,,
15 Letters,"2,2,4,7",at it like rabbits,be at one's leisure,be in one's element,be on one's dignity,go on one's travels,to no good purpose,up to one's armpits,,
15 Letters,"2,2,5,2,4",to be going on with,,,,,,,,
15 Letters,"2,2,5,3,3",if it works for you,,,,,,,,
15 Letters,"2,2,5,6",at no extra charge,,,,,,,,
15 Letters,"2,2,6,5",on an annual basis,ye of little faith,,,,,,,
15 Letters,"2,2,7,4",be in cahoots with,be in harmony with,Oh my sainted aunt,,,,,,
15 Letters,"2,2,8,3",be in someone's way,go to pastures new,,,,,,,
15 Letters,"2,2,11",as an alternative,be at loggerheads,do it yourselfers,go by appearances,go by underground,of no consequence,up to expectation,,
15 Letters,"2,3,1,5,4",in for a rough ride,,,,,,,,
15 Letters,"2,3,1,9",go for a cigarette,,,,,,,,
15 Letters,"2,3,2,1,3,4",as far as I can tell,,,,,,,,
15 Letters,"2,3,2,1,7",go off at a tangent,go off on a tangent,,,,,,,
15 Letters,"2,3,2,2,1,3,2",if and it is a big if,,,,,,,,
15 Letters,"2,3,2,2,6",no man is an island,,,,,,,,
15 Letters,"2,3,2,3,3,2",as far as one can go,,,,,,,,
15 Letters,"2,3,2,3,5",as far as one knows,as old as the hills,be out on the tiles,go out on the tiles,me and my big mouth,no dog in the fight,on top of the world,,
15 Letters,"2,3,2,4,4",be out of one's mind,be out of your mind,be set in one's ways,go off at half cock,go off on one's hols,in all my born days,on top of one's game,,
15 Letters,"2,3,2,8",an act of defiance,an air of finality,as far as possible,go out of business,up for re election,,,,
15 Letters,"2,3,3,2,5",do you get my drift,do you see my point,if you get my drift,if you get my point,,,,,
15 Letters,"2,3,3,3,1,3",I'm not the man I was,,,,,,,,
15 Letters,"2,3,3,3,4",if one has the time,,,,,,,,
15 Letters,"2,3,3,4,3",go off the deep end,I'm not the only one,,,,,,,
15 Letters,"2,3,3,7",do all the talking,go for the jugular,go off the subject,In the Air Tonight,it had its moments,it has its moments,Mr and Mrs Andrews,,
15 Letters,"2,3,4,1,5",go out like a light,,,,,,,,
15 Letters,"2,3,4,2,1,3",at the drop of a hat,,,,,,,,
15 Letters,"2,3,4,2,4",an odd sort of chap,at the dawn of time,be the last in line,be the last to know,if all goes to plan,in the days of yore,in the line of duty,in the line of fire,in the nick of time
15 Letters,"2,3,4,2,4",on the road to ruin,,,,,,,,
15 Letters,"2,3,4,3,1,2",Do you know who I am,,,,,,,,
15 Letters,"2,3,4,3,3",do the best one can,do the best you can,in the here and now,,,,,,
15 Letters,"2,3,4,4,2",if you can't beat 'em,,,,,,,,
15 Letters,"2,3,4,6",at the last minute,at the last moment,at the last second,go off half cocked,go off one's rocker,go off your rocker,in the last resort,in the near future,in the same breath
15 Letters,"2,3,4,6",in the same league,of the same stripe,on the back burner,on the high street,on the open market,to its full extent,to the full extent,,
15 Letters,"2,3,5,2,3",at the break of day,by the grace of God,in the light of day,,,,,,
15 Letters,"2,3,5,5",ab uno disce omnes,at the first blush,at the speed limit,do the hippy shake,do the hokey cokey,do the right thing,Do Wah Diddy Diddy,Do You Wanna Dance,in the early hours
15 Letters,"2,3,5,5",in the final third,in the first place,in the first three,in the right order,in the right place,in the small hours,in the wrong order,in the wrong place,of the first water
15 Letters,"2,3,5,5",on the early shift,on the first floor,on the front pages,on the gravy train,on the never never,on the right lines,on the right track,on the wrong track,
15 Letters,"2,3,6,4",as the saying goes,At the Castle Gate,At The Earth's Core,at the water's edge,by the strong hand,do the donkey work,go one better than,he who laughs last,in the engine room
15 Letters,"2,3,6,4",in the firing line,in the medium term,in the public gaze,in the remote past,on the bright side,on the danger list,on the dotted line,on the losing side,on the picket line
15 Letters,"2,3,6,4",on the refuse heap,to the manner born,up the garden path,,,,,,
15 Letters,"2,3,7,3",in the melting pot,in the witness box,of the deepest dye,on the lookout for,on the seventh day,,,,
15 Letters,"2,3,8,2",in the clutches of,in the interest of,in the presence of,in the vicinity of,on the boundary of,on the strength of,,,
15 Letters,"2,3,10",at the crossroads,do the impossible,in all conscience,in all likelihood,in the altogether,in the ascendancy,in the background,in the crosshairs,in the foreground
15 Letters,"2,3,10",in the newspapers,in the vernacular,in the wilderness,La Vie Parisienne,on the assumption,on the backburner,on the borderline,on the scoresheet,on the television
15 Letters,"2,3,10",on the threshhold,On The Waterfront,To The Lighthouse,up for discussion,,,,,
15 Letters,"2,4,1,3,2,3",as good a way as any,,,,,,,,
15 Letters,"2,4,1,8",go into a tailspin,Oh what a surprise,,,,,,,
15 Letters,"2,4,2,1,3,3",as neat as a new pin,,,,,,,,
15 Letters,"2,4,2,1,6",as pale as a corpse,as sick as a parrot,as weak as a kitten,,,,,,
15 Letters,"2,4,2,2,5",as long as it takes,as much as it takes,by hook or by crook,,,,,,
15 Letters,"2,4,2,3,4",as like as two peas,be wide of the mark,go down on one knee,no skin in the game,no walk in the park,,,,
15 Letters,"2,4,2,4,3",as long as your arm,it won't be long now,no more Mr nice guy,no will of one's own,,,,,
15 Letters,"2,4,2,5,2",I'd like to think so,no need to thank me,,,,,,,
15 Letters,"2,4,2,7",as hard as granite,as keen as mustard,as rich as Croesus,be full of oneself,be lost in thought,do well by someone,go away on holiday,go down in history,If This Be Treason
15 Letters,"2,4,2,7",in fits of giggles,it just so happens,no sign of trouble,no time to explain,,,,,
15 Letters,"2,4,3,2,4",no more and no less,no skin off my nose,to have and to hold,,,,,,
15 Letters,"2,4,3,3,3",in this day and age,,,,,,,,
15 Letters,"2,4,3,6",at spes non fracta,be done and dusted,be home for dinner,be one's own person,by fits and starts,by one's own choice,go down the toilet,go into the church,go over old ground
15 Letters,"2,4,3,6",go over the ground,in fits and starts,In With the Flynns,it does not matter,La Cage Aux Folles,my lips are sealed,no airs and graces,of one's own accord,of one's own making
15 Letters,"2,4,3,6",of your own accord,on one's own ground,on with the motley,so much the better,up one's own bottom,,,,
15 Letters,"2,4,4,2,3",at this time of day,so what else is new,,,,,,,
15 Letters,"2,4,4,5",an idea made flesh,be past one's prime,do one's fair share,do your fair share,in very poor taste,no more than usual,on one's high horse,on one's Jack Jones,on your high horse
15 Letters,"2,4,4,5",on your Jack Jones,,,,,,,,
15 Letters,"2,4,5,4",an ever fixed mark,do one's level best,do what you're told,do your level best,go that extra mile,in one's right mind,in one's spare time,in your right mind,on good terms with
15 Letters,"2,4,5,4",or your money back,,,,,,,,
15 Letters,"2,4,9",do one's damnedest,do your damnedest,go into hysterics,go into overdrive,go into remission,go into seclusion,go like clockwork,go like lightning,I'm Alan Partridge
15 Letters,"2,4,9",in fair condition,in fine condition,in full agreement,in good condition,in mint condition,in peak condition,in poor condition,on good authority,on home territory
15 Letters,"2,4,9",on many occasions,to best advantage,to one's advantage,St Jude Thaddaeus,,,,,
15 Letters,"2,5,1,7",is there a problem,,,,,,,,
15 Letters,"2,5,2,1,5",as brown as a berry,as fresh as a daisy,as leaky as a sieve,as quick as a flash,as quiet as a mouse,as sharp as a knife,as sharp as a razor,as sober as a judge,as sound as a roach
15 Letters,"2,5,2,1,5",as stiff as a board,as stiff as a poker,as thick as a plank,as timid as a mouse,as white as a ghost,as white as a sheet,it comes at a price,,
15 Letters,"2,5,2,2,4",be cruel to be kind,in whole or in part,Le Rouge et le Noir,,,,,,
15 Letters,"2,5,2,3,3",I'm ready if you are,,,,,,,,
15 Letters,"2,5,2,6",it could be better,Le Nozze di Figaro,no rhyme or reason,no right of appeal,no sense of humour,no sense of rhythm,,,
15 Letters,"2,5,3,2,3",an awful lot to ask,,,,,,,,
15 Letters,"2,5,3,5",by trial and error,go round and round,go round the block,go round the twist,go round the world,go under the knife,in apple pie order,in black and white,in dribs and drabs
15 Letters,"2,5,3,5",it makes you think,it takes all sorts,no cause for alarm,on hands and knees,St Kitts and Nevis,Ye Banks and Braes,,,
15 Letters,"2,5,4,2,2",My Heart Will Go On,,,,,,,,
15 Letters,"2,5,4,4",it blows one's mind,it blows your mind,It looks like rain,it works both ways,no place like home,to spite one's face,,,
15 Letters,"2,5,6,2",if you'll excuse me,,,,,,,,
15 Letters,"2,5,8",an utter shambles,at close quarters,at cross purposes,be taken unawares,Dr Rowan Williams,ex prime minister,in block capitals,in broad daylight,
15 Letters,"2,5,8",in depth analysis,in forma pauperis,in sharp contrast,in short trousers,in stark contrast,no claim discount,no dilly dallying,no funny business,no known antidote
15 Letters,"2,5,8",no stone unturned,of equal standing,re entry corridor,We shall overcome,,,,,
15 Letters,"2,6,1,6",no longer a factor,,,,,,,,
15 Letters,"2,6,2,1,4",as gentle as a dove,as gentle as a lamb,as pissed as a newt,as skinny as a rake,as steady as a rock,,,,
15 Letters,"2,6,2,5",an errand of mercy,as chaste as Diana,do things in style,in floods of tears,it serves me right,no longer an issue,no longer in force,no longer in vogue,St Teresa of Avila
15 Letters,"2,6,3,4",be pushed for time,it drives you nuts,Me Tarzan You Jane,no longer the case,,,,,
15 Letters,"2,6,7",an honest mistake,at public auction,At Castle Boterel,be beside oneself,be caught napping,be deadly serious,be deeply touched,be sorely tempted,by common consent
15 Letters,"2,6,7",by mutual consent,by remote control,Dr Samuel Johnson,ex gratia payment,go faster stripes,in deadly earnest,in double figures,in police custody,in polite company
15 Letters,"2,6,7",in polite society,in single figures,it doesn't compute,no longer applies,no second chances,no spring chicken,of common descent,on active service,on second thought
15 Letters,"2,6,7",St Hilda's College,St Oliver Plunket,St Peter's College,St Thomas Aquinas,To absent friends,to little purpose,,,
15 Letters,"2,7,1,5",go through a phase,go without a hitch,,,,,,,
15 Letters,"2,7,2,4",an element of luck,an element of risk,be brought to book,in letters of gold,it slipped my mind,no concern of mine,St Vincent de Paul,,
15 Letters,"2,7,4,2",go through with it,,,,,,,,
15 Letters,"2,7,6",ad hominem attack,an outside chance,by popular demand,go further afield,go through phases,go without saying,in foreign climes,in seventh heaven,Is nothing sacred
15 Letters,"2,7,6",it beggars belief,la perfide Albion,my learned friend,no expense spared,no fooling around,no lasting damage,of dubious origin,of dubious virtue,
15 Letters,"2,7,6",on another planet,on neutral ground,St George's Chapel,to forgive divine,,,,,
15 Letters,"2,8,2,3",no distance at all,St Leonards on Sea,,,,,,,
15 Letters,"2,8,5",an absolute brick,an absolute shock,an absolute steal,an absolute treat,an acquired taste,an educated guess,at breaking point,at bursting point,at freezing point
15 Letters,"2,8,5",at someone's elbow,at someone's mercy,in someone's hands,no artistic merit,no monetary value,of doubtful value,on amicable terms,on friendly terms,on intimate terms
15 Letters,"2,8,5",on opposing sides,on opposite sides,on shifting sands,on someone's heels,on speaking terms,St Michael's Mount,St Patrick's cross,,
15 Letters,"2,9,4",an endurance test,an enquiring mind,be delighted with,in collision with,in intensive care,on alternate days,on condition that,on unlimited loan,
15 Letters,"2,10,3",Mr Tambourine Man,no activation fee,St Valentine's Day,,,,,,
15 Letters,"2,13",ad misericordiam,be dispassionate,be inconspicuous,be philosophical,co determination,co significative,de Stalinisation,in commemoration,in communication
15 Letters,"2,13",in consternation,in juxtaposition,La Rochefoucauld,no interruptions,,,,,
15 Letters,"3,1,2,3,3,3",Can I do you now sir,,,,,,,,
15 Letters,"3,1,3,2,6",not a jot or tittle,run a lap of honour,,,,,,,
15 Letters,"3,1,3,4,2,2",it's a bit lost on me,,,,,,,,
15 Letters,"3,1,3,6,2",get a bit worked up,,,,,,,,
15 Letters,"3,1,3,8",get a few pointers,,,,,,,,
15 Letters,"3,1,4,2,1,4",put a name to a face,,,,,,,,
15 Letters,"3,1,4,2,5",get a wink of sleep,has a ring of truth,It's a Kind of Magic,led a life of crime,not a drop to drink,not a wink of sleep,,,
15 Letters,"3,1,4,3,2,2",get a buzz out of it,get a kick out of it,it's a long way to go,,,,,,
15 Letters,"3,1,4,3,4",fix a date and time,fix a time and date,had a drop too much,had a high old time,has a high old time,it's a long way down,,,
15 Letters,"3,1,4,4,3",get a good send off,got a good send off,had a soft spot for,has a soft spot for,,,,,
15 Letters,"3,1,4,7",get a fair hearing,get a good pasting,get a warm welcome,had a full stomach,had a good innings,has a full stomach,it's a free country,it's a slow process,set a good example
15 Letters,"3,1,4,7",set a poor example,,,,,,,,
15 Letters,"3,1,5,2,4",did a world of good,not a speck of dust,,,,,,,
15 Letters,"3,1,5,4,2",put a brave face on,,,,,,,,
15 Letters,"3,1,5,6",cut a sorry figure,had a happy ending,its a trade secret,not a happy chappy,not a party animal,pay a king's ransom,,,
15 Letters,"3,1,6,2,3",get a breath of air,get a change of air,not a breath of air,,,,,,
15 Letters,"3,1,6,3,2",get a thrill out of,,,,,,,,
15 Letters,"3,1,6,5",for a little while,for a modest price,get a better offer,get a flying start,get a mental block,get a night's sleep,had a broken heart,had a broken wrist,had a mental block
15 Letters,"3,1,6,5",has a mental block,hit a sticky patch,not a pretty sight,pay a flying visit,,,,,
15 Letters,"3,1,7,4",get a helping hand,had a stomach ache,led a charmed life,put a deposit down,,,,,
15 Letters,"3,1,8,3",had a penchant for,had a weakness for,has a penchant for,has a weakness for,not a drinking man,not a gambling man,,,
15 Letters,"3,1,11",had a premonition,had a temperature,has a premonition,has a temperature,run a temperature,win a competition,win a scholarship,won a scholarship,
15 Letters,"3,2,1,3,4,2",not if I can help it,,,,,,,,
15 Letters,"3,2,1,3,6",hen on a hot girdle,put on a big spread,,,,,,,
15 Letters,"3,2,1,4,5",all in a good cause,not by a long chalk,not in a good place,off to a fine start,off to a good start,off to a poor start,put on a bold front,put up a good fight,put up a poor mouth
